"ID","Title","Attachments","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On","is_converted"
"C46","Validate Landing Page for Recruiters","","Yhomarys Pinzon","8/24/2026 1:50 PM","","","Medium","HUN-15","For companies","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:27 PM","1"
"C47","Verify visual incentives to access the candidate list.","","Yhomarys Pinzon","8/24/2026 2:08 PM","","","Medium","HUN-15","For companies","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:27 PM","1"
"C48","Verify visibility and action element redirection to complete registration.","","Yhomarys Pinzon","8/24/2026 2:25 PM","","","Medium","HUN-1","For companies","1","","Master","S6","Functional","Yhomarys Pinzon","8/24/2026 3:12 PM","1"
"C49","Verify market comparison table display and data accuracy.","","Yhomarys Pinzon","8/24/2026 2:31 PM","","","Medium","HUN-15","For companies","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:27 PM","1"
"C50","Verify CEO testimonial display and content accuracy.","","Yhomarys Pinzon","8/24/2026 2:37 PM","","","Medium","HUN-15","For companies","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:28 PM","1"
"C51","Verify partner company logos section display.","","Yhomarys Pinzon","8/24/2026 2:42 PM","","","Medium","HUN-15","For companies","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:28 PM","1"
"C52","Verify View Top 100 action element visibility and redirection.","","Yhomarys Pinzon","8/24/2026 2:57 PM","","","Medium","HUN-15","For companies","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:29 PM","1"
"C53","Verify default routing to engineers view for unauthenticated users.","","Yhomarys Pinzon","8/24/2026 3:14 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:39 PM","1"
"C54","Verify visibility and submission of quick registration form via email.","","Yhomarys Pinzon","8/24/2026 3:24 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:39 PM","1"
"C55","Verify email form submission with empty field.","","Yhomarys Pinzon","8/24/2026 3:28 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:40 PM","1"
"C56","Verify email form submission with invalid email format.","","Yhomarys Pinzon","8/24/2026 3:37 PM","","","Medium","HUN-15","For engineers","1","","Master","S6","Functional","Yhomarys Pinzon","9/10/2026 2:40 PM","1"
